Date,Open,High,Low,Close,Volume,Adj Close
2015-04-02,3696.03,3696.03,3696.03,3696.03,000,3696.03
2015-04-01,3680.45,3680.45,3680.45,3680.45,000,3680.45
2015-03-31,3663.58,3663.58,3663.58,3663.58,000,3663.58
2015-03-30,3719.43,3719.43,3719.43,3719.43,000,3719.43
2015-03-27,3701.62,3701.62,3701.62,3701.62,000,3701.62
2015-03-26,3722.62,3722.62,3722.62,3722.62,000,3722.62
2015-03-25,3773.63,3773.63,3773.63,3773.63,000,3773.63
2015-03-24,3788.90,3788.90,3788.90,3788.90,000,3788.90
2015-03-23,3795.61,3795.61,3795.61,3795.61,000,3795.61
2015-03-20,3788.26,3788.26,3788.26,3788.26,000,3788.26
2015-03-19,3758.09,3758.09,3758.09,3758.09,000,3758.09
2015-03-18,3747.38,3747.38,3747.38,3747.38,000,3747.38
2015-03-17,3694.39,3694.39,3694.39,3694.39,000,3694.39
2015-03-16,3679.48,3679.48,3679.48,3679.48,000,3679.48
2015-03-13,3648.24,3648.24,3648.24,3648.24,000,3648.24
2015-03-12,3655.28,3655.28,3655.28,3655.28,000,3655.28
2015-03-11,3633.90,3633.90,3633.90,3633.90,000,3633.90
2015-03-10,3624.77,3624.77,3624.77,3624.77,000,3624.77
2015-03-09,3710.08,3710.08,3710.08,3710.08,000,3710.08
2015-03-06,3728.95,3728.95,3728.95,3728.95,000,3728.95
2015-03-05,3752.00,3752.00,3752.00,3752.00,000,3752.00
2015-03-04,3727.30,3727.30,3727.30,3727.30,000,3727.30
2015-03-03,3714.45,3714.45,3714.45,3714.45,000,3714.45
2015-03-02,3740.32,3740.32,3740.32,3740.32,000,3740.32
2015-02-27,3744.26,3744.26,3744.26,3744.26,000,3744.26
2015-02-26,3744.56,3744.56,3744.56,3744.56,000,3744.56
2015-02-25,3736.31,3736.31,3736.31,3736.31,000,3736.31
2015-02-24,3742.58,3742.58,3742.58,3742.58,000,3742.58
2015-02-23,3724.85,3724.85,3724.85,3724.85,000,3724.85
2015-02-20,3724.45,3724.45,3724.45,3724.45,000,3724.45
2015-02-19,3710.28,3710.28,3710.28,3710.28,000,3710.28
2015-02-18,3712.67,3712.67,3712.67,3712.67,000,3712.67
2015-02-17,3708.61,3708.61,3708.61,3708.61,000,3708.61
2015-02-16,3690.05,3690.05,3690.05,3690.05,000,3690.05
2015-02-13,3696.47,3696.47,3696.47,3696.47,000,3696.47
2015-02-12,3674.58,3674.58,3674.58,3674.58,000,3674.58
2015-02-11,3664.00,3664.00,3664.00,3664.00,000,3664.00
2015-02-10,3669.54,3669.54,3669.54,3669.54,000,3669.54
2015-02-09,3670.27,3670.27,3670.27,3670.27,000,3670.27
2015-02-06,3681.48,3681.48,3681.48,3681.48,000,3681.48
2015-02-05,3687.08,3687.08,3687.08,3687.08,000,3687.08
2015-02-04,3680.18,3680.18,3680.18,3680.18,000,3680.18
2015-02-03,3685.14,3685.14,3685.14,3685.14,000,3685.14
2015-02-02,3638.29,3638.29,3638.29,3638.29,000,3638.29
2015-01-30,3621.81,3621.81,3621.81,3621.81,000,3621.81
